component_id,name,type,file_path,key_funcs_classes,inputs,outputs,deps,verified,evidence_refs
n_csv_customers,Customer Data CSV,source,data/customers.csv,N/A,User uploaded data,Customer records (demographics/transactions),None,true,streamlit_app_ULTIMATE.py:121-133
n_csv_competitor,Competitor Data CSV,source,data/competitor_data.csv,N/A,User uploaded data,Competitor interaction data,None,true,streamlit_app_ULTIMATE.py:139-155
n_literature_files,Literature Files,source,knowledge/literature/*.txt,N/A,Research papers,Full-text paper content,None,true,agents/literature_searcher.py:168-178
n_config,Configuration,source,config.py,OPENAI_API_KEY|MODEL_NAME|MAX_CYCLES,Manual config,API keys and settings,None,true,config.py:1-22
n_streamlit_ui,Streamlit UI,source,streamlit_app_ULTIMATE.py,main(),User interactions,User input and API keys,streamlit,true,streamlit_app_ULTIMATE.py:1153-1642
n_streamlit_orchestrator,Streamlit Orchestrator,process,streamlit_app_ULTIMATE.py,run_discovery_cycle()|main(),User commands + data,Discovery results,pandas|numpy|scipy|streamlit,true,streamlit_app_ULTIMATE.py:749-1077
n_data_loader,Data Loader,process,streamlit_app_ULTIMATE.py,load_data()|generate_sample_data(),CSV files or generates sample,Pandas DataFrame,pandas|numpy,true,streamlit_app_ULTIMATE.py:116-265
n_stats_engine,Statistical Analysis Engine,process,streamlit_app_ULTIMATE.py,perform_statistical_analysis()|_sanitize_for_analysis(),DataFrame + research questions,Statistical results (p-values/effect sizes),scipy.stats|numpy,true,streamlit_app_ULTIMATE.py:267-461
n_world_model,World Model,process,world_model_builder.py,WorldModel|Discovery|Trajectory,Discoveries + trajectories,Structured knowledge graph,json|datetime,true,world_model_builder.py:14-397
n_lit_searcher,Literature Search Agent,process,agents/literature_searcher.py,LiteratureSearchAgent.search(),Query + context,Relevant papers + insights,openai|json,true,agents/literature_searcher.py:12-228
n_data_analyst,Data Analysis Agent,process,agents/data_analyst.py,DataAnalysisAgent.analyze(),Research question + context,Generated analysis code + results,openai|exec,true,agents/data_analyst.py:13-237
n_llm_question_gen,LLM Question Generator,process,streamlit_app_ULTIMATE.py,generate_research_questions_llm(),Objective + cycle context,Research questions (JSON),openai,true,streamlit_app_ULTIMATE.py:463-517
n_llm_synthesis,LLM Discovery Synthesizer,process,streamlit_app_ULTIMATE.py,synthesize_discoveries_llm(),Analyses + literature,Synthesized discoveries + hypotheses,openai,true,streamlit_app_ULTIMATE.py:596-709
n_report_gen,Enhanced Report Generator,process,auto_enhanced_report.py,AutoEnhancedReportGenerator.generate_enhanced_report(),Discoveries + trajectories,Formatted report with stats,json,true,auto_enhanced_report.py:12-332
n_openai_api,OpenAI API,external,N/A,openai.chat.completions.create(),Prompts + context,LLM responses,internet,true,streamlit_app_ULTIMATE.py:493-501
n_world_model_json,World Model Store,store,world_model.json,N/A,World model state,Persisted discoveries/trajectories,filesystem,true,world_model_builder.py:232-247
n_literature_index,Literature Index Store,store,literature_index.json,N/A,Indexed papers,Paper metadata + keyword index,filesystem,true,agents/literature_searcher.py:22-27
n_session_state,Session State Store,store,streamlit session_state,N/A,Discovery state,Runtime state preservation,streamlit,true,streamlit_app_ULTIMATE.py:48-64
n_enhanced_report,Enhanced Report Output,output,auto_enhanced_report.txt,N/A,Report content,Text file with discoveries,filesystem,true,auto_enhanced_report.py:263-268
n_analysis_files,Analysis Output Files,output,outputs/analyses/*.json|*.py,N/A,Analysis results,JSON results + Python code,filesystem,true,agents/data_analyst.py:211-236
n_streamlit_dashboard,Interactive Dashboard,output,Streamlit Web UI,N/A,Discovery results + logs,Interactive visualizations,streamlit|browser,true,streamlit_app_ULTIMATE.py:1279-1636
