component,path,key_functions_classes,inputs,outputs,critical_dependencies
Streamlit UI,streamlit_app_ULTIMATE.py,"main(), run_discovery_cycle(), perform_statistical_analysis(), load_data(), generate_final_report()","User config (API key/objective/cycles); CSV files (customers.csv/competitor_data.csv)","Interactive dashboard; Real-time discoveries; Logs; Visualizations","streamlit, pandas, scipy, openai, auto_enhanced_report, world_model_builder"
Kosmos Framework,main.py,"KosmosFramework class, run(), _generate_research_questions(), _synthesize_cycle_discoveries()","Research objectives; max_cycles config","Orchestrated agent execution; Discovery synthesis","openai, agents.world_model, agents.data_analyst, agents.literature_searcher"
Data Analyst Agent,agents/data_analyst.py,"DataAnalysisAgent class, analyze(), _generate_code(), _execute_code(), _fix_code()","Research question; World model context","Generated Python code; Execution results; Analysis artifacts","openai, pandas, scipy, config, json"
Literature Search Agent,agents/literature_searcher.py,"LiteratureSearchAgent class, search(), _find_relevant_papers(), _extract_insights(), _rank_papers()","Search query; World model context; Literature index","Relevant papers; Synthesized insights; Statistical evidence from papers","openai, json, config"
World Model (Enhanced),world_model_builder.py,"WorldModel class, Discovery dataclass, Trajectory dataclass, add_discovery(), add_trajectory(), save(), load(), generate_context_summary()","Discovery data; Trajectory data; Hypotheses; Cycle summaries","world_model.json (structured knowledge graph); Context summaries","json, pathlib, datetime, dataclasses"
World Model (Legacy),agents/world_model.py,"WorldModel class, add_analysis(), add_literature_finding(), add_discovery(), get_context_summary(), save_report()","Analysis results; Literature findings; Discoveries","outputs/world_model_state.json; Discovery report","json, datetime"
Auto Enhanced Report Generator,auto_enhanced_report.py,"AutoEnhancedReportGenerator class, extract_statistics_from_trajectory(), format_discovery_with_stats(), generate_enhanced_report()","Discoveries list; Trajectories list; World model state","auto_enhanced_report.txt (publication-ready report with extracted stats)","pathlib, json, re"
Config Manager,config.py,"Global constants (OPENAI_API_KEY, MODEL_NAME, TEMPERATURE, MAX_CYCLES, OUTPUT_DIR)","Environment or hardcoded values","API keys; Model settings; Directory paths; Runtime parameters","None (pure config)"
CSV Data Files,data/,"customers.csv, competitor_data.csv, data_summary.json","External CSV uploads or data generation scripts","Customer demographics/transactions; Competitor benchmarks","pandas (for loading)"
Literature Knowledge Base,knowledge/,"literature_index.json, literature/*.txt, literature/*_meta.json","Research papers (text); Metadata (JSON); Keyword indices","Searchable corpus for literature agent; Paper abstracts/content","json (for index)"
World Model State Store,.,world_model.json OR outputs/world_model_state.json,"World model save() calls","Persistent discoveries/trajectories/hypotheses/cycle_summaries","json (serialization)"
Enhanced Report Output,.,auto_enhanced_report.txt OR outputs/discovery_report.txt,"Report generation function calls","Publication-ready text report with statistical evidence","File I/O"
Analysis Artifacts,outputs/analyses/,"analysis_<id>.py, analysis_<id>.json","Data analyst agent execution","Generated analysis scripts; Execution results; Summary JSONs","json, python code"
